,Name,batter,bat_speed_90th,bat_speed_80th,bat_speed_std,swing_length_coefficient,swing_length_pvalue,contact_coefficient,contact_pvalue,contact_r2,estimated_woba_50th_percentile,estimated_woba_75th_percentile,estimated_woba_per_swing_top50,estimated_woba_per_swing_top25,swing_count,average_bat_speed,diff_between_wobacon_woba_50,diff_between_wobacon_woba_25
23,riley greene,682985,78.7277518656924,77.70627485007091,5.384282258591332,10.0825090011466,7.55098571567598e-234,1.1410703398710127,2.513001360475111e-122,0.9687444404145354,0.5325,0.52771875,0.27061475409836067,0.2768360655737705,244.0,73.5218038433947,0.2618852459016393,0.2508826844262295
24,carlos correa,621043,79.33244889230461,77.43043306984244,4.826839588073827,9.77727972501959,1.374332410194718e-117,1.1668794599952204,4.45911772702459e-84,0.9756104249111751,0.4651714285714286,0.39768749999999997,0.2325857142857143,0.1818,140.0,73.36762168901018,0.2325857142857143,0.21588749999999998
25,willson contreras,575929,79.62948631867567,78.81767330864623,8.712576953158049,9.405928187726282,2.4849603243778085e-196,1.1041106006292294,1.035781324604256e-93,0.9651525218024792,0.437075,0.5291578947368422,0.17140196078431372,0.1971372549019608,205.0,73.36646139669801,0.2656730392156863,0.3320206398348814
26,marcell ozuna,542303,79.0643191679439,77.23532346758549,5.863344729155748,9.943043297895432,2.3289830497569176e-242,1.178343650051508,1.3440050104211867e-127,0.973748967154074,0.6199148936170212,0.6381428571428571,0.2428,0.22335,241.0,73.36341178194999,0.3771148936170212,0.41479285714285713
27,byron buxton,621439,78.6343444484433,76.66448942463737,6.597822935664057,8.945407871735469,2.5332026866420404e-143,1.0950170629669118,5.855558066460403e-70,0.9682336945494621,0.2396857142857143,0.25523529411764706,0.10894805194805196,0.1141842105263158,154.0,73.27581480885723,0.13073766233766235,0.14105108359133126
28,jesús sánchez,660821,81.10183077732536,79.26428890980084,10.09561886626544,10.299202422462052,2.6311201484200177e-185,1.1273843102230043,8.495953750386622e-100,0.9618925472453222,0.5091951219512195,0.5351176470588235,0.22448387096774192,0.19776086956521738,187.0,73.26672767321874,0.2847112509834776,0.3373567774936061
29,mike trout,545361,79.82979513332818,78.3960317808368,8.498246703955155,9.733419946959216,2.4656688984228685e-193,1.1090687428307346,4.152543606406539e-124,0.9722395502281315,0.48597674418604647,0.4564285714285714,0.20093269230769228,0.18432692307692305,209.0,73.23552571109744,0.2850440518783542,0.27210164835164835
30,pete alonso,624413,79.83759277688154,78.22903065980049,7.162415932513642,10.015092842239675,2.1152557497764218e-250,1.100149743782852,3.068761633335116e-135,0.9611330893042324,0.3264677419354839,0.2557931034482759,0.15218796992481204,0.1123939393939394,267.0,73.22570950209848,0.17427977201067185,0.1433991640543365
31,elly de la cruz,682829,80.08533403849546,78.58897551896621,8.910203886525991,10.130253084748208,1.524296397321975e-217,1.1488518162367989,1.1313895649518028e-109,0.9696611027435333,0.489921568627451,0.41013636363636363,0.2230892857142857,0.161125,224.0,73.12567537097321,0.2668322829131653,0.24901136363636364
32,riley adams,656180,80.43558339050335,78.35136060844604,8.784217276549274,8.939392191471832,1.8010243053873178e-111,1.0857124955005135,2.1291169921604947e-62,0.9625247430272772,0.3361333333333334,0.29319999999999996,0.16006349206349207,0.14187096774193547,126.0,72.99359765770298,0.17606984126984132,0.1513290322580645
33,michael harris,671739,78.23093403168744,77.06421934507036,6.506037747526219,8.893005118205572,2.863688629508982e-230,1.156463559148049,4.332350206383789e-131,0.9716089803520377,0.33736764705882355,0.28282352941176475,0.18207142857142858,0.15263492063492065,252.0,72.92598345405965,0.15529621848739497,0.1301886087768441
34,eloy jiménez,650391,78.93756578195685,77.75825705756719,7.883091948108768,10.012217904077618,1.369354191732809e-183,1.1361842188751372,1.965870231533689e-96,0.9639931346802837,0.3906363636363636,0.4610416666666666,0.18682608695652173,0.24054347826086955,185.0,72.87093483663799,0.2038102766798419,0.22049818840579707
